,q38,q49,se3a
11724,2.0,3.0,7
11725,1.0,1.0,8
11726,1.0,2.0,3
11727,2.0,2.0,3
11728,,3.0,2
11729,2.0,2.0,9
11730,2.0,3.0,9
11731,2.0,1.0,9
11732,2.0,2.0,11
11733,2.0,2.0,10
11734,2.0,2.0,6
11735,2.0,1.0,6
11736,2.0,2.0,7
11737,2.0,2.0,10
11738,2.0,1.0,11
11739,2.0,3.0,11
11740,2.0,1.0,7
11741,2.0,3.0,2
11742,2.0,2.0,5
11743,2.0,2.0,11
11744,2.0,3.0,4
11745,2.0,1.0,12
11746,2.0,1.0,6
11747,1.0,2.0,5
11748,2.0,2.0,9
11749,2.0,1.0,10
11750,,1.0,2
11751,2.0,1.0,3
11752,2.0,1.0,8
11753,2.0,1.0,9
11754,2.0,1.0,7
11755,1.0,3.0,3
11756,2.0,1.0,6
11757,2.0,1.0,9
11758,2.0,1.0,10
11759,1.0,1.0,10
11760,2.0,1.0,12
11761,2.0,1.0,10
11762,2.0,3.0,7
11763,2.0,1.0,11
11764,2.0,2.0,10
11765,2.0,2.0,4
11766,2.0,2.0,10
11767,2.0,2.0,5
11768,2.0,2.0,11
11769,1.0,1.0,5
11770,1.0,1.0,4
11771,1.0,3.0,10
11772,2.0,3.0,3
11773,2.0,3.0,11
11774,2.0,2.0,9
11775,2.0,3.0,10
11776,1.0,1.0,10
11777,2.0,3.0,3
11778,2.0,3.0,2
11779,1.0,3.0,7
11780,2.0,1.0,3
11781,2.0,3.0,7
11782,2.0,2.0,12
11783,2.0,3.0,8
11784,2.0,2.0,10
11785,2.0,3.0,5
11786,2.0,2.0,4
11787,2.0,3.0,3
11788,2.0,2.0,6
11789,1.0,1.0,4
11790,2.0,1.0,6
11791,2.0,1.0,10
11792,2.0,1.0,10
11793,1.0,1.0,2
11794,,2.0,2
11795,2.0,3.0,10
11796,2.0,1.0,8
11797,2.0,3.0,6
11798,2.0,1.0,6
11799,2.0,1.0,7
11800,2.0,3.0,3
11801,2.0,3.0,3
11802,2.0,2.0,4
11803,2.0,2.0,2
11804,2.0,1.0,11
11805,2.0,2.0,9
11806,,1.0,10
11807,2.0,1.0,10
11808,2.0,3.0,4
11809,2.0,2.0,3
11810,2.0,1.0,7
11811,2.0,2.0,7
11812,2.0,2.0,12
11813,2.0,3.0,8
11814,2.0,3.0,6
11815,2.0,1.0,11
11816,2.0,1.0,10
11817,2.0,1.0,7
11818,2.0,1.0,12
11819,2.0,1.0,4
11820,2.0,1.0,12
11821,2.0,1.0,12
11822,2.0,1.0,2
11823,1.0,3.0,2
11824,2.0,3.0,8
11825,2.0,1.0,10
11826,2.0,1.0,12
11827,,3.0,2
11828,2.0,1.0,10
11829,2.0,2.0,10
11830,2.0,1.0,10
11831,2.0,2.0,7
11832,2.0,1.0,6
11833,2.0,1.0,10
11834,2.0,1.0,10
11835,2.0,1.0,4
11836,2.0,1.0,4
11837,2.0,1.0,4
11838,2.0,1.0,9
11839,1.0,1.0,4
11840,2.0,2.0,4
11841,2.0,1.0,10
11842,2.0,1.0,7
11843,2.0,2.0,8
11844,2.0,3.0,5
11845,,1.0,2
11846,2.0,1.0,9
11847,2.0,2.0,6
11848,2.0,4.0,9
11849,2.0,2.0,7
11850,2.0,2.0,8
11851,1.0,3.0,2
11852,1.0,,6
11853,1.0,2.0,5
11854,1.0,3.0,8
11855,2.0,2.0,9
11856,2.0,2.0,12
11857,2.0,2.0,7
11858,2.0,2.0,6
11859,2.0,1.0,10
11860,2.0,2.0,10
11861,2.0,2.0,11
11862,2.0,2.0,10
11863,2.0,2.0,12
11864,,1.0,6
11865,2.0,1.0,7
11866,2.0,1.0,9
11867,2.0,3.0,12
11868,1.0,2.0,3
11869,2.0,4.0,9
11870,2.0,2.0,7
11871,1.0,1.0,3
11872,2.0,2.0,6
11873,2.0,2.0,8
11874,2.0,1.0,2
11875,2.0,2.0,5
11876,1.0,1.0,4
11877,2.0,1.0,10
11878,1.0,3.0,2
11879,1.0,1.0,11
11880,1.0,2.0,10
11881,1.0,2.0,3
11882,2.0,1.0,3
11883,2.0,1.0,10
11884,1.0,2.0,3
11885,2.0,2.0,9
11886,1.0,1.0,12
11887,2.0,1.0,9
11888,2.0,1.0,10
11889,2.0,2.0,12
11890,2.0,3.0,8
11891,2.0,2.0,7
11892,2.0,2.0,3
11893,2.0,3.0,5
11894,2.0,2.0,10
11895,2.0,2.0,8
11896,2.0,2.0,9
11897,2.0,3.0,8
11898,2.0,2.0,5
11899,2.0,,12
11900,2.0,2.0,10
11901,2.0,2.0,4
11902,2.0,2.0,10
11903,1.0,2.0,8
11904,2.0,1.0,5
11905,2.0,3.0,8
11906,1.0,1.0,6
11907,2.0,3.0,3
11908,2.0,3.0,9
11909,2.0,3.0,2
11910,2.0,1.0,9
11911,2.0,2.0,4
11912,2.0,1.0,5
11913,2.0,2.0,5
11914,2.0,1.0,11
11915,2.0,1.0,3
11916,2.0,4.0,5
11917,2.0,2.0,7
11918,2.0,3.0,9
11919,2.0,3.0,5
11920,2.0,2.0,4
11921,2.0,1.0,7
11922,2.0,1.0,3
11923,2.0,,10
11924,2.0,2.0,4
11925,2.0,2.0,4
11926,2.0,1.0,3
11927,2.0,3.0,6
11928,,3.0,2
11929,,1.0,2
11930,2.0,2.0,3
11931,2.0,3.0,4
11932,2.0,2.0,6
11933,2.0,2.0,5
11934,2.0,2.0,6
11935,2.0,1.0,3
11936,2.0,4.0,8
11937,2.0,2.0,3
11938,2.0,4.0,8
11939,2.0,3.0,3
11940,2.0,3.0,8
11941,2.0,,10
11942,2.0,2.0,7
11943,2.0,2.0,3
11944,2.0,2.0,4
11945,2.0,2.0,8
11946,2.0,1.0,12
11947,2.0,2.0,11
11948,2.0,2.0,5
11949,1.0,2.0,3
11950,2.0,2.0,6
11951,,3.0,2
11952,2.0,1.0,11
11953,2.0,,6
11954,2.0,3.0,4
11955,2.0,1.0,8
11956,2.0,2.0,5
11957,2.0,3.0,5
11958,2.0,3.0,3
11959,2.0,2.0,6
11960,1.0,1.0,2
11961,2.0,2.0,10
11962,1.0,3.0,4
11963,2.0,2.0,4
11964,2.0,1.0,7
11965,2.0,1.0,4
11966,2.0,1.0,8
11967,2.0,1.0,5
11968,2.0,3.0,7
11969,2.0,2.0,11
11970,1.0,2.0,4
11971,2.0,1.0,7
11972,2.0,2.0,2
11973,2.0,3.0,11
11974,2.0,3.0,7
11975,2.0,3.0,10
11976,1.0,2.0,5
11977,2.0,2.0,7
11978,2.0,3.0,4
11979,2.0,1.0,10
11980,2.0,1.0,10
11981,2.0,3.0,8
11982,2.0,2.0,7
11983,2.0,2.0,3
11984,2.0,2.0,2
11985,2.0,3.0,10
11986,2.0,1.0,6
11987,2.0,1.0,6
11988,1.0,1.0,3
11989,2.0,2.0,5
11990,2.0,1.0,7
11991,2.0,1.0,11
11992,2.0,3.0,7
11993,2.0,1.0,5
11994,2.0,1.0,6
11995,2.0,3.0,6
11996,2.0,1.0,2
11997,2.0,4.0,11
11998,2.0,1.0,7
11999,2.0,2.0,9
12000,2.0,1.0,11
12001,2.0,3.0,8
12002,2.0,2.0,7
12003,2.0,3.0,12
12004,2.0,1.0,10
12005,2.0,1.0,10
12006,2.0,3.0,7
12007,2.0,2.0,9
12008,2.0,3.0,5
12009,2.0,1.0,10
12010,2.0,1.0,5
12011,2.0,3.0,9
12012,2.0,3.0,3
12013,2.0,1.0,8
12014,2.0,3.0,3
12015,2.0,1.0,2
12016,,1.0,2
12017,2.0,2.0,10
12018,2.0,,10
12019,2.0,2.0,10
12020,2.0,2.0,10
12021,2.0,2.0,10
12022,2.0,2.0,11
12023,2.0,1.0,11
12024,1.0,1.0,12
12025,2.0,2.0,3
12026,2.0,4.0,10
12027,2.0,2.0,3
12028,2.0,3.0,7
12029,2.0,1.0,10
12030,2.0,2.0,3
12031,2.0,1.0,6
12032,2.0,2.0,5
12033,2.0,1.0,6
12034,2.0,1.0,11
12035,1.0,1.0,4
12036,2.0,2.0,3
12037,2.0,2.0,5
12038,1.0,2.0,4
12039,2.0,2.0,7
12040,2.0,1.0,9
12041,2.0,1.0,8
12042,2.0,2.0,4
12043,2.0,4.0,8
12044,2.0,3.0,9
12045,2.0,3.0,8
12046,2.0,3.0,8
12047,2.0,3.0,8
12048,2.0,1.0,5
12049,2.0,4.0,3
12050,2.0,1.0,5
12051,2.0,2.0,9
12052,2.0,1.0,7
12053,2.0,3.0,4
12054,2.0,3.0,3
12055,2.0,3.0,6
12056,2.0,2.0,7
12057,2.0,3.0,12
12058,2.0,3.0,12
12059,2.0,2.0,5
12060,2.0,2.0,4
12061,1.0,2.0,10
12062,2.0,2.0,4
12063,2.0,1.0,8
12064,2.0,3.0,8
12065,,1.0,2
12066,2.0,1.0,6
12067,2.0,3.0,6
12068,2.0,3.0,8
12069,2.0,3.0,3
12070,2.0,2.0,11
12071,2.0,1.0,8
12072,2.0,3.0,5
12073,,1.0,2
12074,2.0,2.0,10
12075,2.0,2.0,7
12076,2.0,2.0,12
12077,2.0,1.0,12
12078,2.0,2.0,3
12079,2.0,2.0,9
12080,2.0,3.0,4
12081,2.0,3.0,12
12082,2.0,1.0,10
12083,2.0,2.0,6
12084,2.0,2.0,6
12085,2.0,3.0,6
12086,2.0,2.0,8
12087,2.0,2.0,12
12088,2.0,2.0,8
12089,2.0,2.0,5
12090,1.0,1.0,8
12091,2.0,1.0,7
12092,2.0,1.0,10
12093,2.0,2.0,5
12094,2.0,2.0,8
12095,1.0,1.0,4
12096,2.0,3.0,6
12097,2.0,1.0,10
12098,2.0,1.0,7
12099,2.0,3.0,6
12100,2.0,2.0,8
12101,2.0,2.0,11
12102,2.0,2.0,5
12103,1.0,1.0,3
12104,2.0,2.0,2
12105,2.0,3.0,5
12106,2.0,3.0,5
12107,2.0,3.0,8
12108,2.0,3.0,12
12109,1.0,3.0,2
12110,2.0,1.0,4
12111,2.0,2.0,3
12112,2.0,3.0,5
12113,2.0,3.0,6
12114,2.0,3.0,9
12115,2.0,1.0,8
12116,2.0,3.0,2
12117,2.0,2.0,5
12118,2.0,2.0,7
12119,1.0,3.0,3
12120,2.0,2.0,4
12121,2.0,3.0,10
12122,2.0,1.0,8
12123,1.0,2.0,6
12124,1.0,1.0,3
12125,2.0,3.0,2
12126,2.0,2.0,5
12127,2.0,1.0,8
12128,2.0,4.0,8
12129,,2.0,2
12130,1.0,1.0,8
12131,2.0,3.0,2
12132,2.0,1.0,7
12133,1.0,2.0,5
12134,2.0,4.0,10
12135,,2.0,2
12136,2.0,3.0,9
12137,1.0,2.0,7
12138,2.0,3.0,10
12139,2.0,1.0,9
12140,2.0,1.0,7
12141,1.0,2.0,3
12142,2.0,4.0,6
12143,1.0,2.0,6
12144,2.0,4.0,8
12145,2.0,3.0,10
12146,2.0,1.0,12
12147,2.0,4.0,9
12148,2.0,3.0,7
12149,2.0,1.0,5
12150,2.0,2.0,8
12151,2.0,1.0,3
12152,1.0,1.0,2
12153,2.0,2.0,12
12154,2.0,1.0,2
12155,,2.0,5
12156,,3.0,2
12157,2.0,2.0,8
12158,2.0,3.0,5
12159,,3.0,2
12160,1.0,3.0,5
12161,2.0,1.0,12
12162,2.0,3.0,11
12163,2.0,1.0,7
12164,2.0,2.0,6
12165,2.0,3.0,6
12166,2.0,1.0,7
12167,2.0,2.0,3
12168,2.0,3.0,10
12169,2.0,3.0,5
12170,2.0,1.0,3
12171,2.0,1.0,8
12172,2.0,3.0,3
12173,2.0,2.0,7
12174,2.0,1.0,9
12175,2.0,2.0,3
12176,2.0,2.0,10
12177,2.0,2.0,5
12178,,2.0,11
12179,2.0,2.0,12
12180,2.0,3.0,11
12181,2.0,2.0,4
12182,2.0,3.0,8
12183,2.0,1.0,7
12184,2.0,2.0,8
12185,2.0,2.0,12
12186,2.0,4.0,5
12187,2.0,3.0,7
12188,1.0,1.0,3
12189,2.0,2.0,4
12190,2.0,2.0,7
12191,,2.0,2
12192,2.0,3.0,7
12193,2.0,3.0,3
12194,2.0,2.0,7
12195,2.0,2.0,5
12196,1.0,3.0,6
12197,2.0,2.0,10
12198,2.0,2.0,7
12199,1.0,2.0,5
12200,1.0,1.0,4
12201,,2.0,2
12202,2.0,3.0,12
12203,2.0,3.0,7
12204,1.0,2.0,3
12205,2.0,2.0,8
12206,1.0,3.0,9
12207,2.0,3.0,10
12208,1.0,1.0,2
12209,2.0,3.0,3
12210,2.0,3.0,6
12211,2.0,2.0,7
12212,2.0,3.0,3
12213,2.0,,12
12214,1.0,2.0,3
12215,2.0,1.0,5
12216,2.0,3.0,5
12217,2.0,3.0,12
12218,2.0,,12
12219,2.0,2.0,6
12220,2.0,4.0,8
12221,2.0,,11
12222,2.0,,12
12223,2.0,2.0,8
