,q38,q49,se3a
10885,1.0,2.0,6
10886,1.0,3.0,6
10887,2.0,4.0,8
10888,1.0,1.0,10
10889,2.0,1.0,12
10890,2.0,2.0,3
10891,2.0,3.0,5
10892,2.0,3.0,3
10893,1.0,3.0,9
10894,2.0,3.0,9
10895,2.0,,10
10896,2.0,2.0,5
10897,2.0,2.0,7
10898,2.0,2.0,5
10899,2.0,3.0,10
10900,2.0,3.0,10
10901,2.0,2.0,4
10902,2.0,2.0,5
10903,2.0,3.0,5
10904,2.0,2.0,9
10905,2.0,2.0,6
10906,1.0,3.0,2
10907,,2.0,2
10908,2.0,1.0,2
10909,2.0,2.0,9
10910,2.0,2.0,10
10911,,2.0,2
10912,2.0,3.0,7
10913,2.0,3.0,9
10914,2.0,2.0,12
10915,1.0,2.0,3
10916,2.0,3.0,5
10917,2.0,3.0,7
10918,2.0,2.0,9
10919,1.0,1.0,3
10920,2.0,1.0,3
10921,2.0,2.0,8
10922,2.0,2.0,8
10923,2.0,,11
10924,2.0,3.0,10
10925,2.0,2.0,9
10926,2.0,3.0,9
10927,2.0,3.0,10
10928,2.0,2.0,3
10929,2.0,3.0,7
10930,1.0,1.0,6
10931,2.0,2.0,3
10932,2.0,3.0,7
10933,2.0,1.0,7
10934,2.0,3.0,6
10935,2.0,1.0,9
10936,2.0,2.0,11
10937,1.0,3.0,4
10938,2.0,2.0,7
10939,2.0,2.0,10
10940,2.0,2.0,7
10941,2.0,1.0,9
10942,2.0,2.0,8
10943,2.0,3.0,7
10944,2.0,2.0,7
10945,2.0,2.0,5
10946,1.0,2.0,4
10947,2.0,2.0,7
10948,2.0,2.0,8
10949,2.0,3.0,6
10950,2.0,4.0,12
10951,2.0,3.0,12
10952,2.0,1.0,9
10953,2.0,2.0,6
10954,,3.0,2
10955,2.0,3.0,8
10956,2.0,2.0,8
10957,2.0,3.0,7
10958,2.0,2.0,3
10959,,3.0,2
10960,2.0,3.0,6
10961,1.0,3.0,2
10962,2.0,3.0,4
10963,2.0,3.0,6
10964,2.0,2.0,7
10965,2.0,1.0,11
10966,2.0,2.0,11
10967,,2.0,2
10968,1.0,2.0,2
10969,2.0,3.0,6
10970,2.0,2.0,6
10971,2.0,2.0,9
10972,2.0,3.0,10
10973,2.0,3.0,5
10974,2.0,1.0,8
10975,2.0,3.0,10
10976,2.0,2.0,9
10977,1.0,2.0,3
10978,1.0,2.0,2
10979,2.0,2.0,8
10980,2.0,3.0,8
10981,1.0,2.0,2
10982,1.0,1.0,4
10983,2.0,1.0,8
10984,1.0,1.0,6
10985,2.0,3.0,8
10986,2.0,3.0,7
10987,2.0,2.0,9
10988,2.0,1.0,5
10989,2.0,3.0,7
10990,2.0,2.0,3
10991,2.0,2.0,5
10992,2.0,3.0,4
10993,2.0,3.0,7
10994,1.0,3.0,4
10995,2.0,2.0,9
10996,2.0,2.0,7
10997,2.0,3.0,5
10998,2.0,3.0,8
10999,2.0,3.0,6
11000,2.0,2.0,10
11001,2.0,2.0,6
11002,2.0,3.0,6
11003,1.0,3.0,6
11004,1.0,1.0,2
11005,2.0,3.0,10
11006,2.0,3.0,8
11007,,1.0,2
11008,2.0,3.0,10
11009,2.0,3.0,4
11010,1.0,2.0,6
11011,2.0,3.0,4
11012,2.0,4.0,9
11013,2.0,3.0,9
11014,2.0,3.0,7
11015,1.0,1.0,2
11016,2.0,2.0,9
11017,2.0,2.0,4
11018,1.0,2.0,2
11019,2.0,1.0,8
11020,2.0,2.0,7
11021,2.0,3.0,10
11022,1.0,2.0,3
11023,2.0,3.0,8
11024,2.0,2.0,6
11025,2.0,1.0,8
11026,,2.0,2
11027,2.0,1.0,4
11028,2.0,3.0,7
11029,2.0,2.0,9
11030,2.0,2.0,6
11031,2.0,1.0,3
11032,2.0,2.0,3
11033,2.0,3.0,4
11034,1.0,3.0,7
11035,2.0,2.0,4
11036,2.0,2.0,9
11037,1.0,2.0,2
11038,2.0,2.0,4
11039,2.0,1.0,5
11040,2.0,3.0,4
11041,1.0,4.0,8
11042,2.0,2.0,10
11043,2.0,2.0,6
11044,2.0,2.0,9
11045,2.0,2.0,7
11046,2.0,2.0,7
11047,2.0,2.0,7
11048,2.0,1.0,2
11049,2.0,1.0,7
11050,2.0,1.0,7
11051,2.0,2.0,4
11052,2.0,1.0,6
11053,2.0,3.0,6
11054,2.0,3.0,7
11055,2.0,2.0,5
11056,2.0,2.0,4
11057,1.0,3.0,3
11058,1.0,1.0,6
11059,2.0,3.0,7
11060,2.0,3.0,4
11061,2.0,2.0,3
11062,1.0,2.0,7
11063,,2.0,2
11064,2.0,2.0,3
11065,1.0,2.0,6
11066,2.0,4.0,6
11067,2.0,2.0,11
11068,2.0,3.0,4
11069,2.0,3.0,9
11070,2.0,2.0,6
11071,1.0,2.0,2
11072,2.0,2.0,8
11073,2.0,1.0,4
11074,2.0,2.0,10
11075,2.0,1.0,7
11076,1.0,1.0,2
11077,2.0,3.0,5
11078,2.0,3.0,12
11079,2.0,3.0,7
11080,1.0,2.0,4
11081,2.0,1.0,7
11082,1.0,3.0,5
11083,2.0,2.0,3
11084,2.0,2.0,9
11085,2.0,3.0,10
11086,2.0,4.0,5
11087,2.0,2.0,12
11088,2.0,1.0,3
11089,2.0,4.0,2
11090,2.0,2.0,8
11091,2.0,1.0,2
11092,1.0,2.0,12
11093,2.0,3.0,7
11094,2.0,1.0,3
11095,2.0,2.0,3
11096,2.0,2.0,11
11097,,1.0,2
11098,2.0,3.0,7
11099,2.0,3.0,6
11100,2.0,3.0,8
11101,,3.0,3
11102,2.0,2.0,9
11103,2.0,2.0,6
11104,2.0,1.0,7
11105,2.0,2.0,4
11106,,2.0,2
11107,1.0,3.0,7
11108,1.0,1.0,7
11109,2.0,1.0,5
11110,2.0,3.0,6
11111,,1.0,7
11112,2.0,3.0,5
11113,2.0,3.0,6
11114,2.0,2.0,3
11115,2.0,3.0,4
11116,2.0,3.0,5
11117,2.0,1.0,3
11118,1.0,1.0,2
11119,1.0,1.0,3
11120,2.0,2.0,7
11121,2.0,2.0,3
11122,2.0,2.0,6
11123,2.0,3.0,8
11124,1.0,2.0,5
11125,2.0,1.0,9
11126,1.0,3.0,4
11127,2.0,2.0,8
11128,1.0,2.0,4
11129,2.0,2.0,7
11130,1.0,2.0,4
11131,2.0,2.0,4
11132,2.0,1.0,12
11133,2.0,2.0,10
11134,2.0,2.0,7
11135,2.0,2.0,4
11136,2.0,2.0,7
11137,2.0,4.0,9
11138,1.0,3.0,3
11139,2.0,2.0,2
11140,2.0,4.0,6
11141,2.0,1.0,3
