,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
5449,1.0,3.0,9.0,1.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,25-29,Yes
5450,1.0,3.0,8.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5451,1.0,3.0,8.0,5.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5452,1.0,2.0,8.0,3.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,20-24,Yes
5453,1.0,3.0,7.0,4.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5454,1.0,3.0,8.0,5.0,2.0,2.0,3.0,2.0,1.0,Somewhat agree,25-29,No
5455,1.0,3.0,9.0,4.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,25-29,Yes
5456,1.0,4.0,7.0,2.0,4.0,1.0,4.0,3.0,2.0,Somewhat disagree,30-34,Yes
5457,1.0,3.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,25-29,No
5458,1.0,2.0,9.0,3.0,2.0,2.0,3.0,2.0,,Somewhat agree,20-24,No
5459,1.0,6.0,7.0,2.0,3.0,2.0,4.0,4.0,1.0,Strongly disagree,40-44,No
5460,1.0,5.0,7.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5461,1.0,4.0,8.0,2.0,3.0,3.0,4.0,4.0,1.0,Strongly disagree,30-34,No
5462,1.0,4.0,7.0,2.0,3.0,3.0,4.0,4.0,1.0,Strongly disagree,30-34,No
5463,1.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,30-34,Yes
5464,1.0,5.0,7.0,2.0,4.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5465,1.0,4.0,8.0,2.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,30-34,No
5466,1.0,5.0,7.0,,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5467,1.0,5.0,7.0,2.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5468,1.0,5.0,7.0,2.0,2.0,2.0,2.0,3.0,1.0,Somewhat disagree,35-39,No
5469,1.0,5.0,9.0,3.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5470,1.0,5.0,9.0,3.0,2.0,3.0,2.0,2.0,1.0,Somewhat agree,35-39,No
5471,1.0,4.0,8.0,,3.0,2.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5472,1.0,4.0,7.0,1.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5473,1.0,5.0,9.0,2.0,2.0,3.0,4.0,4.0,2.0,Strongly disagree,35-39,Yes
5474,1.0,5.0,8.0,2.0,2.0,3.0,2.0,1.0,2.0,Strongly agree,35-39,Yes
5475,1.0,5.0,9.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5476,1.0,4.0,9.0,3.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,30-34,Yes
5477,1.0,5.0,7.0,3.0,2.0,3.0,2.0,4.0,,Strongly disagree,35-39,No
5478,1.0,5.0,8.0,3.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5479,1.0,4.0,9.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,30-34,Yes
5480,1.0,6.0,9.0,3.0,4.0,3.0,4.0,2.0,1.0,Somewhat agree,40-44,No
5481,1.0,4.0,8.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,30-34,Yes
5482,1.0,5.0,7.0,3.0,1.0,2.0,3.0,3.0,1.0,Somewhat disagree,35-39,No
5483,1.0,5.0,9.0,3.0,2.0,3.0,2.0,4.0,1.0,Strongly disagree,35-39,No
5484,1.0,5.0,9.0,2.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,35-39,Yes
5485,1.0,5.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
5486,1.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5487,1.0,5.0,9.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5488,1.0,4.0,7.0,2.0,3.0,4.0,2.0,3.0,2.0,Somewhat disagree,30-34,Yes
5489,1.0,5.0,9.0,3.0,4.0,2.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
5490,1.0,4.0,7.0,2.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
5491,1.0,5.0,8.0,4.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5492,1.0,4.0,9.0,1.0,2.0,2.0,3.0,1.0,2.0,Strongly agree,30-34,Yes
5493,1.0,4.0,9.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5494,1.0,4.0,9.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5495,1.0,4.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5496,1.0,5.0,9.0,3.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,35-39,Yes
5497,1.0,4.0,9.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
5498,1.0,4.0,9.0,2.0,1.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5499,1.0,5.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,Strongly agree,35-39,No
5500,1.0,7.0,9.0,5.0,3.0,3.0,4.0,4.0,1.0,Strongly disagree,45-49,No
5501,1.0,6.0,7.0,2.0,2.0,3.0,4.0,3.0,2.0,Somewhat disagree,40-44,Yes
5502,1.0,7.0,7.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,45-49,Yes
5503,1.0,6.0,7.0,2.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,40-44,Yes
5504,1.0,7.0,8.0,,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,45-49,Yes
5505,1.0,7.0,9.0,3.0,1.0,2.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
5506,1.0,7.0,7.0,,3.0,2.0,2.0,2.0,2.0,Somewhat agree,45-49,Yes
5507,1.0,6.0,9.0,3.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5508,1.0,6.0,9.0,4.0,3.0,3.0,4.0,3.0,1.0,Somewhat disagree,40-44,No
5509,1.0,7.0,9.0,,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
5510,1.0,7.0,9.0,2.0,1.0,3.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
5511,1.0,6.0,9.0,2.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,40-44,Yes
5512,1.0,6.0,9.0,2.0,3.0,2.0,3.0,4.0,2.0,Strongly disagree,40-44,Yes
5513,1.0,7.0,7.0,4.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
5514,1.0,6.0,7.0,2.0,3.0,3.0,4.0,4.0,2.0,Strongly disagree,40-44,Yes
5515,1.0,6.0,7.0,2.0,4.0,2.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
5516,1.0,6.0,7.0,1.0,3.0,3.0,4.0,3.0,2.0,Somewhat disagree,40-44,Yes
5517,1.0,7.0,9.0,2.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,45-49,Yes
5518,1.0,7.0,7.0,2.0,2.0,2.0,3.0,4.0,,Strongly disagree,45-49,No
5519,1.0,6.0,7.0,3.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
5520,1.0,6.0,9.0,3.0,2.0,3.0,4.0,3.0,2.0,Somewhat disagree,40-44,Yes
5521,1.0,6.0,9.0,3.0,3.0,2.0,4.0,4.0,2.0,Strongly disagree,40-44,Yes
5522,1.0,7.0,9.0,4.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,45-49,Yes
5523,1.0,6.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5524,1.0,6.0,9.0,5.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,40-44,Yes
5525,1.0,6.0,9.0,3.0,2.0,3.0,2.0,3.0,1.0,Somewhat disagree,40-44,No
5526,1.0,6.0,9.0,3.0,2.0,3.0,2.0,3.0,1.0,Somewhat disagree,40-44,No
5527,1.0,7.0,7.0,2.0,2.0,3.0,4.0,4.0,2.0,Strongly disagree,45-49,Yes
5528,1.0,6.0,7.0,2.0,3.0,2.0,1.0,3.0,2.0,Somewhat disagree,40-44,Yes
5529,1.0,6.0,9.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,40-44,Yes
5530,1.0,6.0,8.0,,2.0,2.0,3.0,4.0,2.0,Strongly disagree,40-44,Yes
5531,1.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,45-49,Yes
5532,1.0,7.0,7.0,4.0,4.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
5533,1.0,7.0,9.0,4.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,45-49,Yes
5534,1.0,6.0,7.0,2.0,1.0,3.0,1.0,2.0,2.0,Somewhat agree,40-44,Yes
5535,1.0,8.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
5536,1.0,8.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
5537,1.0,8.0,7.0,3.0,3.0,4.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
5538,1.0,9.0,7.0,3.0,4.0,3.0,2.0,3.0,2.0,Somewhat disagree,55-59,Yes
5539,1.0,8.0,7.0,,3.0,3.0,2.0,2.0,2.0,Somewhat agree,50-54,Yes
5540,1.0,8.0,9.0,4.0,1.0,2.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
5541,1.0,8.0,7.0,2.0,1.0,2.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
5542,1.0,8.0,9.0,3.0,4.0,3.0,4.0,3.0,2.0,Somewhat disagree,50-54,Yes
5543,1.0,8.0,9.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,50-54,Yes
5544,1.0,9.0,7.0,3.0,2.0,3.0,4.0,4.0,2.0,Strongly disagree,55-59,Yes
5545,1.0,9.0,7.0,5.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,55-59,Yes
5546,1.0,8.0,8.0,3.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,50-54,Yes
5547,1.0,8.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,50-54,Yes
5548,1.0,8.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
5549,1.0,9.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,Somewhat disagree,55-59,Yes
5550,1.0,8.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
5551,1.0,9.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,55-59,Yes
5552,1.0,8.0,9.0,3.0,4.0,2.0,2.0,4.0,2.0,Strongly disagree,50-54,Yes
5553,1.0,8.0,9.0,4.0,2.0,3.0,3.0,3.0,1.0,Somewhat disagree,50-54,No
5554,1.0,9.0,5.0,,4.0,,3.0,1.0,2.0,Strongly agree,55-59,Yes
5555,1.0,9.0,6.0,,2.0,2.0,4.0,2.0,2.0,Somewhat agree,55-59,Yes
5556,1.0,8.0,9.0,3.0,4.0,3.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
5557,1.0,8.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,50-54,Yes
5558,1.0,10.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,Strongly disagree,60-70,No
5559,1.0,10.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
5560,1.0,10.0,5.0,4.0,3.0,4.0,1.0,3.0,1.0,Somewhat disagree,60-70,No
5561,1.0,10.0,7.0,3.0,4.0,3.0,2.0,3.0,1.0,Somewhat disagree,60-70,No
5562,1.0,10.0,7.0,,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
5563,1.0,10.0,9.0,3.0,3.0,2.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
5564,1.0,10.0,7.0,2.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
5565,1.0,10.0,7.0,2.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
5566,1.0,10.0,9.0,2.0,3.0,2.0,4.0,2.0,1.0,Somewhat agree,60-70,No
5567,1.0,10.0,7.0,,3.0,,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
5568,1.0,10.0,7.0,4.0,3.0,2.0,3.0,4.0,2.0,Strongly disagree,60-70,Yes
5569,1.0,10.0,7.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
5570,1.0,10.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
5571,1.0,11.0,9.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,71-75,Yes
5572,1.0,11.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0,Somewhat agree,71-75,Yes
5573,1.0,11.0,4.0,,3.0,3.0,2.0,4.0,2.0,Strongly disagree,71-75,Yes
5574,1.0,11.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,71-75,Yes
5575,1.0,11.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,Somewhat agree,71-75,No
5576,2.0,2.0,8.0,,3.0,3.0,3.0,3.0,1.0,Somewhat disagree,20-24,No
5577,2.0,2.0,8.0,3.0,3.0,2.0,4.0,4.0,,Strongly disagree,20-24,No
5578,2.0,3.0,7.0,4.0,1.0,3.0,3.0,2.0,1.0,Somewhat agree,25-29,No
5579,2.0,3.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5580,2.0,3.0,7.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5581,2.0,2.0,8.0,3.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,20-24,Yes
5582,2.0,3.0,8.0,2.0,3.0,2.0,4.0,4.0,2.0,Strongly disagree,25-29,Yes
5583,2.0,3.0,9.0,,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5584,2.0,3.0,8.0,2.0,2.0,2.0,4.0,3.0,2.0,Somewhat disagree,25-29,Yes
5585,2.0,2.0,7.0,,2.0,3.0,2.0,2.0,1.0,Somewhat agree,20-24,No
5586,2.0,3.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5587,2.0,2.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,Strongly disagree,20-24,Yes
5588,2.0,3.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5589,2.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,Somewhat agree,25-29,Yes
5590,2.0,3.0,7.0,1.0,1.0,2.0,4.0,3.0,2.0,Somewhat disagree,25-29,Yes
5591,2.0,3.0,8.0,2.0,2.0,2.0,4.0,3.0,2.0,Somewhat disagree,25-29,Yes
5592,2.0,3.0,7.0,3.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5593,2.0,3.0,7.0,2.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5594,2.0,3.0,7.0,1.0,3.0,2.0,4.0,4.0,2.0,Strongly disagree,25-29,Yes
5595,2.0,3.0,8.0,3.0,2.0,3.0,4.0,2.0,2.0,Somewhat agree,25-29,Yes
5596,2.0,3.0,8.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5597,2.0,3.0,8.0,3.0,3.0,3.0,4.0,2.0,1.0,Somewhat agree,25-29,No
5598,2.0,3.0,9.0,3.0,4.0,3.0,2.0,4.0,2.0,Strongly disagree,25-29,Yes
5599,2.0,3.0,9.0,3.0,1.0,2.0,3.0,4.0,1.0,Strongly disagree,25-29,No
5600,2.0,2.0,9.0,3.0,2.0,3.0,4.0,3.0,2.0,Somewhat disagree,20-24,Yes
5601,2.0,3.0,7.0,,2.0,2.0,3.0,4.0,2.0,Strongly disagree,25-29,Yes
5602,2.0,3.0,7.0,2.0,2.0,2.0,4.0,2.0,2.0,Somewhat agree,25-29,Yes
5603,2.0,4.0,6.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,30-34,Yes
5604,2.0,4.0,9.0,3.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5605,2.0,3.0,8.0,3.0,3.0,2.0,4.0,3.0,2.0,Somewhat disagree,25-29,Yes
5606,2.0,4.0,7.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
5607,2.0,3.0,7.0,2.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,25-29,Yes
5608,2.0,3.0,7.0,2.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5609,2.0,3.0,7.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5610,2.0,2.0,7.0,3.0,2.0,3.0,3.0,3.0,1.0,Somewhat disagree,20-24,No
5611,2.0,3.0,9.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5612,2.0,3.0,8.0,1.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5613,2.0,3.0,7.0,1.0,2.0,3.0,1.0,1.0,2.0,Strongly agree,25-29,Yes
5614,2.0,3.0,8.0,2.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,25-29,Yes
5615,2.0,3.0,7.0,3.0,1.0,2.0,3.0,3.0,1.0,Somewhat disagree,25-29,No
5616,2.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,25-29,Yes
5617,2.0,3.0,8.0,3.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,25-29,Yes
5618,2.0,3.0,9.0,,2.0,3.0,3.0,2.0,1.0,Somewhat agree,25-29,No
5619,2.0,2.0,7.0,4.0,3.0,3.0,3.0,2.0,1.0,Somewhat agree,20-24,No
5620,2.0,3.0,9.0,4.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
5621,2.0,2.0,8.0,3.0,1.0,3.0,2.0,1.0,,Strongly agree,20-24,No
5622,2.0,4.0,9.0,3.0,1.0,2.0,2.0,2.0,1.0,Somewhat agree,30-34,No
5623,2.0,6.0,7.0,3.0,3.0,2.0,3.0,4.0,2.0,Strongly disagree,40-44,Yes
5624,2.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5625,2.0,4.0,7.0,2.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5626,2.0,5.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
5627,2.0,4.0,7.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5628,2.0,4.0,8.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5629,2.0,5.0,7.0,1.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5630,2.0,4.0,7.0,2.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,30-34,Yes
5631,2.0,4.0,9.0,3.0,1.0,2.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
5632,2.0,5.0,7.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5633,2.0,5.0,7.0,3.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5634,2.0,5.0,9.0,,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5635,2.0,5.0,8.0,4.0,2.0,3.0,3.0,3.0,1.0,Somewhat disagree,35-39,No
5636,2.0,4.0,7.0,4.0,3.0,3.0,4.0,4.0,2.0,Strongly disagree,30-34,Yes
5637,2.0,5.0,6.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
5638,2.0,5.0,7.0,2.0,1.0,3.0,3.0,4.0,2.0,Strongly disagree,35-39,Yes
5639,2.0,4.0,7.0,2.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5640,2.0,5.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0,Strongly disagree,35-39,Yes
5641,2.0,5.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
5642,2.0,4.0,7.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5643,2.0,5.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
5644,2.0,4.0,8.0,2.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,30-34,Yes
5645,2.0,5.0,7.0,2.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5646,2.0,4.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
5647,2.0,5.0,7.0,2.0,3.0,3.0,4.0,3.0,1.0,Somewhat disagree,35-39,No
5648,2.0,5.0,9.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,35-39,Yes
5649,2.0,5.0,6.0,3.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,35-39,Yes
5650,2.0,4.0,9.0,3.0,2.0,2.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5651,2.0,6.0,7.0,3.0,3.0,2.0,4.0,2.0,2.0,Somewhat agree,40-44,Yes
5652,2.0,5.0,7.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
5653,2.0,4.0,9.0,1.0,2.0,3.0,2.0,3.0,1.0,Somewhat disagree,30-34,No
5654,2.0,4.0,8.0,3.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,30-34,Yes
5655,2.0,5.0,7.0,2.0,3.0,2.0,1.0,3.0,2.0,Somewhat disagree,35-39,Yes
5656,2.0,5.0,9.0,3.0,2.0,2.0,4.0,2.0,2.0,Somewhat agree,35-39,Yes
5657,2.0,5.0,8.0,4.0,2.0,2.0,3.0,4.0,2.0,Strongly disagree,35-39,Yes
5658,2.0,5.0,7.0,,3.0,2.0,4.0,4.0,2.0,Strongly disagree,35-39,Yes
5659,2.0,4.0,9.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5660,2.0,4.0,8.0,4.0,1.0,3.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
5661,2.0,5.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
5662,2.0,6.0,7.0,4.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
5663,2.0,6.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5664,2.0,6.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5665,2.0,6.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5666,2.0,7.0,7.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
5667,2.0,6.0,9.0,4.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,40-44,Yes
5668,2.0,7.0,7.0,,3.0,2.0,2.0,2.0,2.0,Somewhat agree,45-49,Yes
5669,2.0,6.0,9.0,3.0,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
5670,2.0,6.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,Somewhat disagree,40-44,No
5671,2.0,7.0,7.0,,1.0,3.0,3.0,1.0,1.0,Strongly agree,45-49,No
5672,2.0,7.0,7.0,2.0,2.0,3.0,4.0,3.0,2.0,Somewhat disagree,45-49,Yes
5673,2.0,6.0,7.0,2.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,40-44,Yes
5674,2.0,6.0,7.0,2.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
5675,2.0,7.0,7.0,2.0,2.0,3.0,4.0,2.0,2.0,Somewhat agree,45-49,Yes
5676,2.0,6.0,7.0,2.0,2.0,3.0,2.0,4.0,2.0,Strongly disagree,40-44,Yes
5677,2.0,6.0,7.0,,3.0,3.0,2.0,1.0,2.0,Strongly agree,40-44,Yes
5678,2.0,7.0,7.0,2.0,3.0,3.0,4.0,3.0,2.0,Somewhat disagree,45-49,Yes
5679,2.0,7.0,9.0,,2.0,2.0,3.0,4.0,2.0,Strongly disagree,45-49,Yes
5680,2.0,6.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,40-44,Yes
5681,2.0,7.0,7.0,2.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,45-49,Yes
5682,2.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,Strongly disagree,45-49,Yes
5683,2.0,6.0,7.0,3.0,1.0,3.0,4.0,4.0,2.0,Strongly disagree,40-44,Yes
5684,2.0,6.0,7.0,3.0,2.0,3.0,4.0,2.0,2.0,Somewhat agree,40-44,Yes
5685,2.0,7.0,7.0,2.0,2.0,2.0,4.0,3.0,2.0,Somewhat disagree,45-49,Yes
5686,2.0,7.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,Strongly disagree,45-49,Yes
5687,2.0,6.0,7.0,3.0,2.0,2.0,4.0,2.0,2.0,Somewhat agree,40-44,Yes
5688,2.0,6.0,7.0,3.0,2.0,2.0,4.0,1.0,2.0,Strongly agree,40-44,Yes
5689,2.0,7.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,45-49,Yes
5690,2.0,6.0,8.0,3.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,40-44,Yes
5691,2.0,6.0,7.0,3.0,2.0,2.0,1.0,3.0,2.0,Somewhat disagree,40-44,Yes
5692,2.0,6.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
5693,2.0,6.0,8.0,3.0,2.0,1.0,3.0,2.0,2.0,Somewhat agree,40-44,Yes
5694,2.0,7.0,7.0,2.0,3.0,2.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
5695,2.0,7.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,45-49,Yes
5696,2.0,7.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
5697,2.0,7.0,7.0,4.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,45-49,Yes
5698,2.0,6.0,7.0,2.0,3.0,,4.0,3.0,2.0,Somewhat disagree,40-44,Yes
5699,2.0,9.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,55-59,Yes
5700,2.0,8.0,8.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
5701,2.0,8.0,7.0,2.0,2.0,2.0,3.0,3.0,1.0,Somewhat disagree,50-54,No
5702,2.0,8.0,7.0,4.0,1.0,3.0,3.0,4.0,2.0,Strongly disagree,50-54,Yes
5703,2.0,8.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,Strongly agree,50-54,Yes
