,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
6753,1.0,9.0,7.0,1.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,55-59,Yes
6754,1.0,9.0,5.0,,1.0,4.0,2.0,3.0,2.0,Somewhat disagree,55-59,Yes
6755,1.0,9.0,8.0,4.0,4.0,2.0,2.0,3.0,2.0,Somewhat disagree,55-59,Yes
6756,1.0,10.0,7.0,,3.0,3.0,3.0,2.0,2.0,Somewhat agree,60-70,Yes
6757,1.0,10.0,3.0,,1.0,3.0,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
6758,1.0,10.0,5.0,,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,60-70,Yes
6759,1.0,11.0,7.0,,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,71-75,Yes
6760,1.0,10.0,5.0,,2.0,2.0,2.0,2.0,2.0,Somewhat agree,60-70,Yes
6761,2.0,3.0,8.0,,2.0,3.0,2.0,4.0,2.0,Strongly disagree,25-29,Yes
6762,2.0,3.0,8.0,2.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6763,2.0,3.0,7.0,4.0,1.0,2.0,2.0,1.0,2.0,Strongly agree,25-29,Yes
6764,2.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,Somewhat agree,25-29,No
6765,2.0,3.0,7.0,,3.0,3.0,2.0,3.0,1.0,Somewhat disagree,25-29,No
6766,2.0,3.0,7.0,1.0,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6767,2.0,3.0,4.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,25-29,Yes
6768,2.0,3.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,Somewhat disagree,25-29,No
6769,2.0,4.0,8.0,,2.0,2.0,3.0,2.0,2.0,Somewhat agree,30-34,Yes
6770,2.0,4.0,8.0,4.0,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
6771,2.0,5.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
6772,2.0,4.0,7.0,,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
6773,2.0,4.0,8.0,,2.0,3.0,3.0,2.0,1.0,Somewhat agree,30-34,No
6774,2.0,5.0,6.0,5.0,4.0,2.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6775,2.0,5.0,7.0,3.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6776,2.0,4.0,8.0,,2.0,2.0,3.0,3.0,2.0,Somewhat disagree,30-34,Yes
6777,2.0,4.0,7.0,,3.0,3.0,2.0,2.0,2.0,Somewhat agree,30-34,Yes
6778,2.0,6.0,9.0,3.0,1.0,2.0,3.0,2.0,2.0,Somewhat agree,40-44,Yes
6779,2.0,6.0,7.0,,3.0,3.0,2.0,1.0,2.0,Strongly agree,40-44,Yes
6780,2.0,6.0,7.0,,1.0,3.0,2.0,3.0,2.0,Somewhat disagree,40-44,Yes
6781,2.0,6.0,7.0,2.0,3.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6782,2.0,6.0,7.0,,2.0,3.0,2.0,2.0,2.0,Somewhat agree,40-44,Yes
6783,2.0,6.0,7.0,,2.0,3.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6784,2.0,9.0,3.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,55-59,Yes
6785,2.0,8.0,5.0,,1.0,3.0,2.0,2.0,2.0,Somewhat agree,50-54,Yes
6786,2.0,8.0,7.0,,2.0,3.0,3.0,2.0,2.0,Somewhat agree,50-54,Yes
6787,2.0,9.0,4.0,,1.0,2.0,3.0,2.0,2.0,Somewhat agree,55-59,Yes
6788,2.0,10.0,5.0,,2.0,3.0,3.0,4.0,2.0,Strongly disagree,60-70,Yes
6789,2.0,10.0,3.0,,1.0,3.0,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
6790,2.0,10.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,Strongly disagree,60-70,Yes
