,country,q127,q098,q130,q106,q131,q005,q006,q111,name
82,4.0,3.0,3.0,2.0,4.0,2.0,2.0,,4.0,Korea
83,4.0,,,,,2.0,2.0,,4.0,Korea
84,4.0,,3.0,2.0,,,3.0,,4.0,Korea
85,4.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,Korea
86,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
87,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,Korea
88,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,Korea
89,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,Korea
90,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,Korea
91,4.0,2.0,3.0,,2.0,2.0,2.0,4.0,4.0,Korea
92,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,Korea
93,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,Korea
94,4.0,2.0,3.0,,,2.0,4.0,,4.0,Korea
95,4.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,5.0,Korea
96,4.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0,Korea
97,4.0,2.0,3.0,2.0,,2.0,2.0,1.0,4.0,Korea
98,4.0,2.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,Korea
99,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,Korea
100,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
101,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
102,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
103,4.0,,3.0,,1.0,,4.0,4.0,4.0,Korea
104,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,Korea
105,4.0,2.0,3.0,2.0,,2.0,5.0,4.0,4.0,Korea
106,4.0,,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
107,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,Korea
108,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
109,4.0,3.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,Korea
110,4.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,Korea
111,4.0,2.0,3.0,2.0,,,4.0,4.0,5.0,Korea
112,4.0,,3.0,2.0,2.0,4.0,2.0,5.0,5.0,Korea
113,4.0,2.0,,2.0,3.0,3.0,4.0,4.0,4.0,Korea
114,4.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,Korea
115,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,Korea
116,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,Korea
117,4.0,,3.0,2.0,4.0,3.0,4.0,5.0,4.0,Korea
118,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,Korea
119,4.0,2.0,2.0,,2.0,2.0,4.0,5.0,4.0,Korea
120,4.0,,,,3.0,,3.0,2.0,,Korea
121,4.0,,2.0,2.0,2.0,4.0,4.0,4.0,5.0,Korea
122,4.0,,2.0,2.0,2.0,2.0,3.0,4.0,5.0,Korea
123,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,Korea
124,4.0,,,1.0,3.0,2.0,5.0,5.0,5.0,Korea
125,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,Korea
126,4.0,,,,3.0,2.0,4.0,4.0,4.0,Korea
127,4.0,,3.0,2.0,3.0,3.0,4.0,4.0,5.0,Korea
128,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
129,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,Korea
130,4.0,,,2.0,4.0,3.0,4.0,5.0,4.0,Korea
131,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,Korea
132,4.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,5.0,Korea
133,4.0,2.0,1.0,,3.0,2.0,4.0,5.0,4.0,Korea
134,4.0,,,,4.0,1.0,2.0,,4.0,Korea
135,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,Korea
136,4.0,,,,4.0,2.0,5.0,,5.0,Korea
137,4.0,,3.0,2.0,2.0,2.0,3.0,4.0,5.0,Korea
138,4.0,,2.0,2.0,4.0,3.0,4.0,5.0,5.0,Korea
139,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
140,4.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,Korea
141,4.0,,3.0,,,,5.0,4.0,5.0,Korea
142,4.0,,4.0,,4.0,,2.0,4.0,5.0,Korea
143,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,Korea
144,4.0,2.0,2.0,,4.0,2.0,5.0,4.0,4.0,Korea
