,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
7519,5.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,Thailand
7520,5.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,Thailand
7521,5.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,Thailand
7522,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,Thailand
7523,5.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,Thailand
7524,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,Thailand
7525,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,Thailand
7526,5.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,3.0,Thailand
7527,5.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,Thailand
7528,5.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,Thailand
7529,5.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,Thailand
7530,5.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,Thailand
7531,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,Thailand
7532,5.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,Thailand
7533,5.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,Thailand
7534,5.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,2.0,Thailand
7535,5.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,Thailand
7536,5.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,Thailand
7537,5.0,2.0,2.0,4.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,Thailand
7538,5.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,4.0,4.0,Thailand
7539,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,Thailand
7540,5.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,3.0,4.0,4.0,Thailand
7541,5.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,Thailand
7542,5.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,Thailand
7543,5.0,2.0,2.0,2.0,3.0,1.0,,1.0,3.0,4.0,4.0,Thailand
7544,5.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,Thailand
7545,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,Thailand
7546,5.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,Thailand
7547,5.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,Thailand
7548,5.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,Thailand
7549,5.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,Thailand
7550,5.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,Thailand
7551,5.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,Thailand
